2024-05-11 18:06:21,179 INFO    StreamThr :24235 [internal.py:wandb_internal():85] W&B internal server running at pid: 24235, started at: 2024-05-11 18:06:21.178751
2024-05-11 18:06:21,180 DEBUG   HandlerThread:24235 [handler.py:handle_request():158] handle_request: status
2024-05-11 18:06:21,181 INFO    WriterThread:24235 [datastore.py:open_for_write():87] open: /home/allen/projects/snake-rl/wandb/run-20240511_180621-co5wddae/run-co5wddae.wandb
2024-05-11 18:06:21,182 DEBUG   SenderThread:24235 [sender.py:send():378] send: header
2024-05-11 18:06:21,182 DEBUG   SenderThread:24235 [sender.py:send():378] send: run
2024-05-11 18:06:21,364 INFO    SenderThread:24235 [dir_watcher.py:__init__():211] watching files in: /home/allen/projects/snake-rl/wandb/run-20240511_180621-co5wddae/files
2024-05-11 18:06:21,364 INFO    SenderThread:24235 [sender.py:_start_run_threads():1123] run started: co5wddae with start time 1715465181.178738
2024-05-11 18:06:21,368 DEBUG   HandlerThread:24235 [handler.py:handle_request():158] handle_request: check_version
2024-05-11 18:06:21,368 DEBUG   SenderThread:24235 [sender.py:send_request():405] send_request: check_version
2024-05-11 18:06:21,452 DEBUG   HandlerThread:24235 [handler.py:handle_request():158] handle_request: run_start
2024-05-11 18:06:21,482 DEBUG   HandlerThread:24235 [system_info.py:__init__():26] System info init
2024-05-11 18:06:21,482 DEBUG   HandlerThread:24235 [system_info.py:__init__():41] System info init done
2024-05-11 18:06:21,482 INFO    HandlerThread:24235 [system_monitor.py:start():194] Starting system monitor
2024-05-11 18:06:21,482 INFO    SystemMonitor:24235 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-11 18:06:21,482 INFO    SystemMonitor:24235 [interfaces.py:start():188] Started cpu monitoring
2024-05-11 18:06:21,483 INFO    HandlerThread:24235 [system_monitor.py:probe():214] Collecting system info
2024-05-11 18:06:21,485 INFO    SystemMonitor:24235 [interfaces.py:start():188] Started disk monitoring
2024-05-11 18:06:21,485 INFO    SystemMonitor:24235 [interfaces.py:start():188] Started gpu monitoring
2024-05-11 18:06:21,485 INFO    SystemMonitor:24235 [interfaces.py:start():188] Started memory monitoring
2024-05-11 18:06:21,486 INFO    SystemMonitor:24235 [interfaces.py:start():188] Started network monitoring
2024-05-11 18:06:21,498 DEBUG   HandlerThread:24235 [system_info.py:probe():150] Probing system
2024-05-11 18:06:21,511 DEBUG   HandlerThread:24235 [system_info.py:_probe_git():135] Probing git
2024-05-11 18:06:21,513 DEBUG   HandlerThread:24235 [system_info.py:_probe_git():143] Probing git done
2024-05-11 18:06:21,513 DEBUG   HandlerThread:24235 [system_info.py:probe():198] Probing system done
